long,lat,tws
68.125,39.625,
68.375,39.625,
68.625,39.625,
68.875,39.625,
69.125,39.625,
69.375,39.625,
69.625,39.625,
69.875,39.625,
70.125,39.625,
70.375,39.625,
70.625,39.625,
70.875,39.625,
71.125,39.625,
71.375,39.625,
71.625,39.625,
71.875,39.625,
72.125,39.625,
72.375,39.625,
72.625,39.625,
72.875,39.625,
73.125,39.625,
73.375,39.625,-17.3216014355421
73.625,39.625,-17.1504469290376
73.875,39.625,-16.9326977152377
74.125,39.625,-16.6683542123064
74.375,39.625,-16.3109955061227
74.625,39.625,-15.8606217764318
74.875,39.625,
75.125,39.625,
75.375,39.625,
75.625,39.625,
75.875,39.625,
76.125,39.625,
76.375,39.625,
76.625,39.625,
76.875,39.625,
77.125,39.625,
77.375,39.625,
77.625,39.625,
77.875,39.625,
78.125,39.625,
78.375,39.625,
78.625,39.625,
78.875,39.625,
79.125,39.625,
79.375,39.625,
79.625,39.625,
79.875,39.625,
80.125,39.625,
80.375,39.625,
80.625,39.625,
80.875,39.625,
81.125,39.625,
81.375,39.625,
81.625,39.625,
81.875,39.625,
82.125,39.625,
82.375,39.625,
82.625,39.625,
82.875,39.625,
83.125,39.625,
83.375,39.625,
83.625,39.625,
83.875,39.625,
84.125,39.625,
84.375,39.625,
84.625,39.625,
84.875,39.625,
85.125,39.625,
85.375,39.625,
85.625,39.625,
85.875,39.625,
86.125,39.625,
86.375,39.625,
86.625,39.625,
86.875,39.625,
87.125,39.625,
87.375,39.625,
87.625,39.625,
87.875,39.625,
88.125,39.625,
88.375,39.625,
88.625,39.625,
88.875,39.625,
89.125,39.625,
89.375,39.625,
89.625,39.625,
89.875,39.625,
90.125,39.625,
90.375,39.625,
90.625,39.625,
90.875,39.625,
91.125,39.625,
91.375,39.625,
91.625,39.625,
91.875,39.625,
92.125,39.625,
92.375,39.625,
92.625,39.625,
92.875,39.625,
93.125,39.625,
93.375,39.625,
93.625,39.625,
93.875,39.625,
94.125,39.625,
94.375,39.625,
94.625,39.625,
94.875,39.625,
95.125,39.625,-3.2225810023956
95.375,39.625,-3.29212669376284
95.625,39.625,-4.53551992820576
95.875,39.625,
